,"sex and age, male","sex and age, male","sex and age, male","sex and age, female","sex and age, female","sex and age, female","sex and age, under 5 years","sex and age, 5 to 9 years","sex and age, 10 to 14 years","sex and age, 15 to 19 years","sex and age, 20 to 24 years","sex and age, 25 to 34 years","sex and age, 35 to 44 years","sex and age, 45 to 54 years","sex and age, 55 to 59 years","sex and age, 60 to 64 years","sex and age, 65 to 74 years","sex and age, 75 to 84 years","sex and age, 85 years and over","sex and age, median age (years)"
2011,1418.0,1141.0,227.0,1451.0,1120.0,234.0,143.0,162.0,192.0,167.0,141.0,364.0,307.0,369.0,357.0,206.0,262.0,162.0,37.0,43.5
2012,1436.0,1172.0,268.0,1444.0,1143.0,297.0,103.0,178.0,165.0,169.0,163.0,301.0,291.0,375.0,343.0,227.0,349.0,178.0,38.0,47.3
2013,1466.0,1165.0,255.0,1446.0,1149.0,303.0,124.0,108.0,209.0,215.0,163.0,301.0,334.0,375.0,332.0,193.0,345.0,166.0,47.0,45.1
2014,1475.0,1170.0,220.0,1431.0,1156.0,287.0,143.0,120.0,183.0,219.0,169.0,329.0,321.0,388.0,345.0,182.0,327.0,152.0,28.0,44.3
2015,1549.0,1185.0,244.0,1438.0,1167.0,276.0,116.0,115.0,275.0,213.0,181.0,319.0,381.0,333.0,272.0,262.0,355.0,104.0,61.0,42.7
2016,1546.0,1151.0,214.0,1433.0,1122.0,271.0,158.0,181.0,241.0,218.0,166.0,389.0,348.0,302.0,249.0,242.0,295.0,134.0,56.0,39.5
2017,1492.0,1097.0,223.0,1463.0,1121.0,330.0,164.0,178.0,303.0,190.0,77.0,307.0,424.0,257.0,273.0,229.0,331.0,148.0,74.0,41.8
2018,1444.0,1134.0,210.0,1488.0,1129.0,309.0,131.0,198.0,263.0,167.0,60.0,299.0,388.0,419.0,261.0,227.0,304.0,165.0,50.0,44.3
2019,1441.0,1126.0,230.0,1499.0,1141.0,341.0,161.0,165.0,271.0,155.0,53.0,269.0,451.0,390.0,161.0,293.0,318.0,197.0,56.0,43.7
2020,1462.0,1170.0,183.0,1468.0,1113.0,268.0,152.0,156.0,197.0,223.0,80.0,345.0,450.0,404.0,219.0,253.0,225.0,190.0,36.0,41.7
2021,1479.0,1243.0,203.0,1530.0,1205.0,319.0,125.0,92.0,258.0,175.0,109.0,251.0,532.0,423.0,223.0,299.0,303.0,183.0,36.0,43.9
2022,1513.0,1178.0,246.0,1509.0,1202.0,272.0,178.0,127.0,221.0,147.0,136.0,336.0,444.0,425.0,203.0,287.0,330.0,169.0,19.0,41.9
2023,1582.0,1245.0,253.0,1434.0,1158.0,313.0,148.0,102.0,241.0,152.0,147.0,347.0,493.0,349.0,188.0,283.0,349.0,182.0,35.0,41.6
