,"employment status, in labor force, civilian labor force, employed","employment status, in labor force, civilian labor force, employed","employment status, in labor force, civilian labor force, unemployed","employment status, not in labor force","commuting to work, worked at home","commuting to work, mean travel time to work (minutes)","occupation, management, business, science, and arts occupations","occupation, service occupations","occupation, sales and office occupations","occupation, natural resources, construction, and maintenance occupations","occupation, production, transportation, and material moving occupations","industry, agriculture, forestry, fishing and hunting, and mining","industry, construction","industry, manufacturing","industry, wholesale trade","industry, retail trade","industry, transportation and warehousing, and utilities","industry, information","industry, finance and insurance, and real estate and rental and leasing","industry, professional, scientific, and management, and administrative and waste management services","industry, educational services, and health care and social assistance","industry, arts, entertainment, and recreation, and accommodation and food services","industry, other services, except public administration","industry, public administration","class of worker, private wage and salary workers","class of worker, government workers","class of worker, self-employed in own not incorporated business workers"
2011,1564.0,794.0,134.0,616.0,144.0,24.2,481.0,256.0,302.0,286.0,239.0,39.0,301.0,245.0,34.0,199.0,48.0,21.0,75.0,68.0,327.0,135.0,42.0,30.0,1080.0,225.0,259.0
2012,1525.0,772.0,120.0,752.0,133.0,27.0,474.0,254.0,286.0,310.0,201.0,91.0,277.0,147.0,37.0,240.0,18.0,26.0,57.0,85.0,317.0,136.0,41.0,53.0,1070.0,224.0,228.0
2013,1511.0,720.0,117.0,802.0,142.0,26.5,470.0,284.0,251.0,308.0,198.0,91.0,255.0,132.0,22.0,252.0,30.0,0.0,44.0,102.0,337.0,147.0,55.0,44.0,1089.0,199.0,221.0
2014,1605.0,769.0,114.0,703.0,92.0,24.6,431.0,349.0,281.0,335.0,209.0,100.0,256.0,140.0,18.0,271.0,37.0,0.0,27.0,127.0,321.0,191.0,73.0,44.0,1265.0,173.0,164.0
2015,1688.0,782.0,59.0,704.0,68.0,23.5,470.0,305.0,344.0,362.0,207.0,140.0,224.0,148.0,68.0,267.0,44.0,2.0,26.0,133.0,320.0,183.0,94.0,39.0,1355.0,164.0,164.0
2016,1625.0,743.0,40.0,700.0,88.0,21.5,505.0,307.0,360.0,330.0,123.0,164.0,167.0,97.0,65.0,249.0,45.0,2.0,43.0,130.0,367.0,173.0,85.0,38.0,1283.0,179.0,158.0
2017,1520.0,690.0,28.0,716.0,83.0,22.8,570.0,335.0,351.0,204.0,60.0,28.0,167.0,103.0,73.0,179.0,38.0,1.0,59.0,150.0,389.0,247.0,79.0,7.0,1243.0,143.0,132.0
2018,1540.0,741.0,3.0,769.0,114.0,21.5,543.0,269.0,457.0,212.0,59.0,27.0,175.0,107.0,69.0,271.0,25.0,1.0,53.0,97.0,401.0,212.0,70.0,32.0,1235.0,173.0,130.0
2019,1464.0,699.0,4.0,839.0,104.0,21.7,552.0,245.0,395.0,195.0,77.0,22.0,173.0,99.0,65.0,222.0,22.0,2.0,77.0,97.0,382.0,183.0,62.0,58.0,1116.0,187.0,159.0
2020,1589.0,739.0,5.0,730.0,95.0,23.7,511.0,329.0,364.0,262.0,123.0,8.0,131.0,123.0,7.0,259.0,57.0,15.0,101.0,94.0,412.0,193.0,139.0,50.0,1260.0,168.0,161.0
2021,1690.0,785.0,27.0,752.0,102.0,21.6,563.0,313.0,351.0,342.0,121.0,0.0,252.0,115.0,7.0,256.0,51.0,25.0,70.0,64.0,492.0,147.0,169.0,42.0,1308.0,193.0,189.0
2022,1636.0,794.0,20.0,780.0,118.0,25.5,561.0,225.0,384.0,310.0,156.0,28.0,269.0,76.0,41.0,285.0,58.0,25.0,53.0,78.0,403.0,105.0,153.0,62.0,1245.0,188.0,203.0
2023,1723.0,781.0,18.0,713.0,129.0,26.3,625.0,244.0,239.0,359.0,256.0,27.0,297.0,101.0,45.0,203.0,71.0,35.0,56.0,101.0,475.0,100.0,161.0,51.0,1265.0,212.0,238.0
